index,name,type_code,type_name,addressable,parent_index,region,area,city,settlement,act_date,url
102831,Москва-Дти,ДТИ,Дополнительный технический индекс,0,102151,Москва,,,,2010-04-16,https://pochtovyindex.ru/index/102831/
102832,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102832/
102833,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102833/
102834,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102834/
102835,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102835/
102836,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102836/
102837,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102837/
102838,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102838/
102839,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102839/
102840,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102840/
102841,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102841/
102892,Москва-Казанский Вокзал Пждп Цех-9 Уч. Тары,ТИ,Технический индекс,0,102000,Москва,,,,2007-08-23,https://pochtovyindex.ru/index/102892/
102894,Домодедово Аопп Уч. Тары,ТИ,Технический индекс,0,102320,Московская область,,Домодедово,,2016-01-15,https://pochtovyindex.ru/index/102894/
102895,Москва-Ярославский Вокзал Пждп Цех-4 Уч. Тары,ТИ,Технический индекс,0,102100,Москва,,,,2007-08-23,https://pochtovyindex.ru/index/102895/
102896,Москва-Белорусский Вокзал Опп Уч. Тары,ТИ,Технический индекс,0,102240,Москва,,,,2006-06-13,https://pochtovyindex.ru/index/102896/
102897,Москва-Внуково Аопп Уч. Тары,ТИ,Технический индекс,0,102300,Москва,,,,2006-10-20,https://pochtovyindex.ru/index/102897/
102898,Мр Лц Внуково Уч. Тары,ТИ,Технический индекс,0,102975,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102898/
102900,Москва-Казанский Вкз. Пждп Ммпо,ММПО,Место международного почтового обмена,0,102000,Москва,,,,2013-05-13,https://pochtovyindex.ru/index/102900/
102901,Москва-Казанский Вкз. Пждп Ммпо Pi-30,ЦЕХ,Цех,0,102900,Москва,,,,2013-05-13,https://pochtovyindex.ru/index/102901/
102902,Москва-Казанский Вкз. Пждп Ммпо Цех Обмена,ЦЕХ,Цех,0,102900,Москва,,,,2013-05-13,https://pochtovyindex.ru/index/102902/
102903,Москва-Казанский Вкз. Пждп Ммпо Ems,ЦЕХ,Цех,0,102900,Москва,,,,2013-09-23,https://pochtovyindex.ru/index/102903/
102904,Москва-Казанский Вокзал Пждп Ммпо Утк,УЧАСТОК,УЧАСТОК,0,102900,Москва,,,,2021-05-27,https://pochtovyindex.ru/index/102904/
102940,Мр Лц Внуково Склад Фф,СКЛАД ФФ,Склад,0,102975,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102940/
102961,Мр Лц Внуково,О,Отделение почтовой связи,1,102975,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102961/
102963,Мр Лц Внуково Тт2000-2-см,ТИ,Технический индекс,0,102982,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102963/
102964,Мр Лц Внуково Цех-1 Ммпо Уо,УЧАСТОК,УЧАСТОК,0,102976,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102964/
102965,Мр Лц Внуково Цех-3 Ммпо Ems Уо,УЧАСТОК,УЧАСТОК,0,102973,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102965/
102966,Мр Лц Внуково Ммпо Уч. Возвр. Письм. Корр.,УЧАСТОК,УЧАСТОК,0,102972,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102966/
102967,Мр Лц Внуково Уч. Отправлений 1 Кл.,УЧАСТОК,УЧАСТОК,0,102975,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102967/
102968,Мр Лц Внуково Ems1-см,ТИ,Технический индекс,0,130210,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102968/
102969,Мр Лц Внуково Sps1-см,ТИ,Технический индекс,0,102975,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102969/
102970,Мр Лц Внуково Уч. Ручн. Обраб. Простых Мп,УЧАСТОК,УЧАСТОК,0,102975,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102970/
102971,Мр Лц Внуково Цех Логистики,ЦЕХ,Цех,0,102975,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102971/
102972,Мр Лц Внуково Цех-2 Ммпо,ЦЕХ,Цех,0,102976,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102972/
102973,Мр Лц Внуково Цех-3 Ммпо,ЦЕХ,Цех,0,102976,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102973/
102974,Мр Лц Внуково Mps1-см,ТИ,Технический индекс,0,102975,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102974/
102975,Мр Лц Внуково,СЦ,СЦ,0,101700,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102975/
102976,Мр Лц Внуково Цех-1 Ммпо,ММПО,Место международного почтового обмена,0,102975,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102976/
102977,Мр Лц Внуково Psm1-см,ТИ,Технический индекс,0,102975,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102977/
102978,Мр Лц Внуково Vrt1-см,ТИ,Технический индекс,0,102975,Москва,Внуково район,Шарапово,,2025-02-06,https://pochtovyindex.ru/index/102978/
